"REF_DATE","GEO","DGUID","Level of study","Field of study","Sex","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Males","Number of graduates","Number","223","units","0","v1233934419","1.1.6.2.1","38360","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Males","Average age at graduation","Years","308","units","0","v1233934420","1.1.6.2.2","27","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Males","Median age at graduation","Years","308","units","0","v1233934421","1.1.6.2.3","25","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Males","Under age 25 at graduation","Percent","239","units","0","v1233934422","1.1.6.2.4","48","","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Males","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934423","1.1.6.2.5","36","","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Females","Number of graduates","Number","223","units","0","v1233934424","1.1.6.3.1","55230","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Females","Average age at graduation","Years","308","units","0","v1233934425","1.1.6.3.2","28","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Females","Median age at graduation","Years","308","units","0","v1233934426","1.1.6.3.3","25","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Females","Under age 25 at graduation","Percent","239","units","0","v1233934427","1.1.6.3.4","50","","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Females","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934428","1.1.6.3.5","35","","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Both sexes","Number of graduates","Number","223","units","0","v1233934429","1.1.7.1.1","23560","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Both sexes","Average age at graduation","Years","308","units","0","v1233934430","1.1.7.1.2","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Both sexes","Median age at graduation","Years","308","units","0","v1233934431","1.1.7.1.3","23","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Both sexes","Under age 25 at graduation","Percent","239","units","0","v1233934432","1.1.7.1.4","71","","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Both sexes","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934433","1.1.7.1.5","64","","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Males","Number of graduates","Number","223","units","0","v1233934434","1.1.7.2.1","9830","B","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Males","Average age at graduation","Years","308","units","0","v1233934435","1.1.7.2.2","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Males","Median age at graduation","Years","308","units","0","v1233934436","1.1.7.2.3","23","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Males","Under age 25 at graduation","Percent","239","units","0","v1233934437","1.1.7.2.4","68","","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Males","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934438","1.1.7.2.5","64","","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Females","Number of graduates","Number","223","units","0","v1233934439","1.1.7.3.1","13730","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Females","Average age at graduation","Years","308","units","0","v1233934440","1.1.7.3.2","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Females","Median age at graduation","Years","308","units","0","v1233934441","1.1.7.3.3","22","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Females","Under age 25 at graduation","Percent","239","units","0","v1233934442","1.1.7.3.4","74","","","","0"
"2015","Canada","2016A000011124","All levels of study","Physical and life sciences and technologies [6]","Females","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934443","1.1.7.3.5","65","","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Both sexes","Number of graduates","Number","223","units","0","v1233934444","1.1.8.1.1","16020","B","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Both sexes","Average age at graduation","Years","308","units","0","v1233934445","1.1.8.1.2","27","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Both sexes","Median age at graduation","Years","308","units","0","v1233934446","1.1.8.1.3","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Both sexes","Under age 25 at graduation","Percent","239","units","0","v1233934447","1.1.8.1.4","53","","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Both sexes","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934448","1.1.8.1.5","27","","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Males","Number of graduates","Number","223","units","0","v1233934449","1.1.8.2.1","11790","B","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Males","Average age at graduation","Years","308","units","0","v1233934450","1.1.8.2.2","27","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Males","Median age at graduation","Years","308","units","0","v1233934451","1.1.8.2.3","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Males","Under age 25 at graduation","Percent","239","units","0","v1233934452","1.1.8.2.4","54","","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Males","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934453","1.1.8.2.5","28","","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Females","Number of graduates","Number","223","units","0","v1233934454","1.1.8.3.1","4230","B","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Females","Average age at graduation","Years","308","units","0","v1233934455","1.1.8.3.2","27","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Females","Median age at graduation","Years","308","units","0","v1233934456","1.1.8.3.3","25","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Females","Under age 25 at graduation","Percent","239","units","0","v1233934457","1.1.8.3.4","50","","","","0"
"2015","Canada","2016A000011124","All levels of study","Mathematics, computer and information sciences [7]","Females","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934458","1.1.8.3.5","24","","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Both sexes","Number of graduates","Number","223","units","0","v1233934459","1.1.9.1.1","58350","B","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Both sexes","Average age at graduation","Years","308","units","0","v1233934460","1.1.9.1.2","25","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Both sexes","Median age at graduation","Years","308","units","0","v1233934461","1.1.9.1.3","23","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Both sexes","Under age 25 at graduation","Percent","239","units","0","v1233934462","1.1.9.1.4","60","","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Both sexes","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934463","1.1.9.1.5","34","","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Males","Number of graduates","Number","223","units","0","v1233934464","1.1.9.2.1","47750","B","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Males","Average age at graduation","Years","308","units","0","v1233934465","1.1.9.2.2","25","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Males","Median age at graduation","Years","308","units","0","v1233934466","1.1.9.2.3","23","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Males","Under age 25 at graduation","Percent","239","units","0","v1233934467","1.1.9.2.4","62","","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Males","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934468","1.1.9.2.5","34","","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Females","Number of graduates","Number","223","units","0","v1233934469","1.1.9.3.1","10620","B","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Females","Average age at graduation","Years","308","units","0","v1233934470","1.1.9.3.2","26","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Females","Median age at graduation","Years","308","units","0","v1233934471","1.1.9.3.3","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Females","Under age 25 at graduation","Percent","239","units","0","v1233934472","1.1.9.3.4","53","","","","0"
"2015","Canada","2016A000011124","All levels of study","Architecture, engineering, and related technologies [8]","Females","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934473","1.1.9.3.5","34","","","","0"
"2015","Canada","2016A000011124","All levels of study","Agriculture, natural resources and conservation [9]","Both sexes","Number of graduates","Number","223","units","0","v1233934474","1.1.10.1.1","9030","B","","","0"
"2015","Canada","2016A000011124","All levels of study","Agriculture, natural resources and conservation [9]","Both sexes","Average age at graduation","Years","308","units","0","v1233934475","1.1.10.1.2","26","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Agriculture, natural resources and conservation [9]","Both sexes","Median age at graduation","Years","308","units","0","v1233934476","1.1.10.1.3","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Agriculture, natural resources and conservation [9]","Both sexes","Under age 25 at graduation","Percent","239","units","0","v1233934477","1.1.10.1.4","58","","","","0"
"2015","Canada","2016A000011124","All levels of study","Agriculture, natural resources and conservation [9]","Both sexes","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934478","1.1.10.1.5","42","","","","0"
"2015","Canada","2016A000011124","All levels of study","Agriculture, natural resources and conservation [9]","Males","Number of graduates","Number","223","units","0","v1233934479","1.1.10.2.1","4030","B","","","0"
